"St.num.";"Station name";"St.num.";"Station name";;0,50;"Time1";"Time add";"Time2";;"Dist. ticket";"Ticket Wo";"Ticket Nw";"Serv.";"Interch.";"Dist. real";"Comment"
27;"Tønsberg";1;"Bergen";;;162,86;-0,53;162,33;;406,0766;1095,35;657,21;32;0,50;406,0766;
27;"Tønsberg";2;"Arna";;;156,62;-0,53;156,10;;396,7266;1073,39;644,03;32;0,50;396,7266;
27;"Tønsberg";3;"Tysse";;;150,47;-0,53;149,95;;379,1506;1035,60;621,36;16;0,50;379,1506;
27;"Tønsberg";4;"Kvam-Jondal";;;141,83;-0,53;141,31;;351,7346;972,10;583,26;16;0,50;351,7346;
27;"Tønsberg";5;"Odda";;;132,78;-0,53;132,26;;320,4806;899,96;539,98;16;0,50;320,4806;
27;"Tønsberg";6;"Røldal";;;122,74;-0,53;122,22;;284,6506;813,78;488,27;16;0,50;284,6506;
27;"Tønsberg";7;"Sauda";;;127,69;-2,49;125,20;;304,6626;861,98;517,19;16;0,50;304,6626;
27;"Tønsberg";8;"Ølen";;;137,43;-2,49;134,94;;336,8526;937,43;562,46;16;0,50;336,8526;
27;"Tønsberg";9;"Aksdal";;;147,01;-2,49;144,52;;369,1426;1013,10;607,86;16;0,50;369,1426;
27;"Tønsberg";10;"Haugesund";;;151,15;-0,56;150,58;;378,8226;1033,36;620,02;16;0,50;378,8226;
27;"Tønsberg";11;"Kårstø";;;149,11;7,43;156,53;;376,8466;1028,87;617,32;16;0,50;376,8466;
27;"Tønsberg";12;"Stavanger";;;162,16;7,43;169,58;;425,9666;1136,52;681,91;16;0,50;425,9666;
27;"Tønsberg";13;"Haukeligrend";;;107,29;1,05;108,34;;226,3226;669,47;401,68;16;;226,3226;
27;"Tønsberg";14;"Åmot";;;97,40;1,05;98,45;;192,8986;581,75;349,05;16;;192,8986;
27;"Tønsberg";15;"Brunkeberg";;;87,35;1,05;88,40;;160,2666;497,08;298,25;16;;160,2666;
27;"Tønsberg";16;"Bø";;;76,56;1,05;77,61;;124,4952;399,38;239,63;16;;124,4952;
27;"Tønsberg";17;"Nordagutu";;;69,57;1,05;70,62;;107,6100;352,34;211,40;24;;107,6100;
27;"Tønsberg";18;"Skien";;;59,00;;59,00;;77,1800;267,92;160,75;48;;77,180;
27;"Tønsberg";19;"Notodden";;;47,76;10,00;57,76;;117,5800;380,08;228,05;48;1,00;117,5800;
27;"Tønsberg";20;"Kongsberg";;;38,90;10,00;48,90;;89,9600;301,90;181,14;48;1,00;89,9600;
27;"Tønsberg";21;"Eiker";;;29,77;10,00;39,77;;67,7420;239,38;143,63;48;1,00;67,7420;
27;"Tønsberg";22;"Drammen";;;24,75;;24,75;;57,8500;210,64;126,38;48;;57,850;
27;"Tønsberg";23;"Nesbru";;;33,39;6,05;39,44;;79,8600;273,60;164,16;48;0,50;79,8600;
27;"Tønsberg";24;"Majorstua";;;39,02;3,32;42,34;;95,1600;318,78;191,27;48;;95,1600;
27;"Tønsberg";25;"Oslo S";;;42,88;3,32;46,19;;98,6800;327,20;196,32;48;;98,6800;
27;"Tønsberg";26;"Holmestrand";;;13,10;;13,10;;25,9500;117,32;70,39;32;;25,950;
27;"Tønsberg";28;"Sandefjord";;;19,00;;19,00;;25,3100;117,32;70,39;48;;25,310;
27;"Tønsberg";29;"Larvik";;;37,00;;37,00;;44,4500;172,98;103,79;48;;44,450;
27;"Tønsberg";30;"Porsgrunn";;;51,50;;51,50;;69,2900;245,10;147,06;48;;69,290;
27;"Tønsberg";31;"Drangedal";;;105,56;16,05;121,61;;166,2558;513,11;307,87;16;1,00;166,2558;
27;"Tønsberg";32;"Gjerstad";;;130,56;16,05;146,61;;198,3458;597,40;358,44;16;1,00;198,3458;
27;"Tønsberg";33;"Arendal";;;210,56;16,05;226,61;;278,9258;799,16;479,50;16;1,00;278,9258;
27;"Tønsberg";34;"Kristiansand";;;225,56;16,05;241,61;;326,5858;914,07;548,44;16;1,00;326,5858;
28;"Sandefjord";1;"Bergen";;;140,86;11,33;152,19;;380,7666;1037,84;622,70;16;0,50;380,7666;
28;"Sandefjord";2;"Arna";;;134,62;11,33;145,96;;371,4166;1017,62;610,57;16;0,50;371,4166;
28;"Sandefjord";3;"Tysse";;;128,47;11,33;139,81;;353,8406;976,68;586,01;12;0,50;353,8406;
28;"Sandefjord";4;"Kvam-Jondal";;;119,83;11,33;131,17;;326,4246;914,07;548,44;12;0,50;326,4246;
28;"Sandefjord";5;"Odda";;;110,78;11,33;122,12;;295,1706;840,38;504,23;12;0,50;295,1706;
28;"Sandefjord";6;"Røldal";;;100,74;11,33;112,08;;259,3406;752,40;451,44;12;0,50;259,3406;
28;"Sandefjord";7;"Sauda";;;105,69;8,11;113,80;;279,3526;801,60;480,96;12;0,50;279,3526;
28;"Sandefjord";8;"Ølen";;;115,43;8,11;123,53;;311,5426;878,66;527,19;12;0,50;311,5426;
28;"Sandefjord";9;"Aksdal";;;125,01;8,11;133,12;;343,8326;953,66;572,20;16;0,50;343,8326;
28;"Sandefjord";10;"Haugesund";;;129,15;10,03;139,18;;353,5126;976,68;586,01;16;0,50;353,5126;
28;"Sandefjord";11;"Kårstø";;;127,11;21,25;148,36;;351,5366;972,10;583,26;12;0,50;351,5366;"ic. Bø, 10min"
28;"Sandefjord";12;"Stavanger";;;140,16;21,25;161,41;;400,6566;1082,20;649,32;16;0,50;400,6566;"ic. Bø, 10min"
28;"Sandefjord";13;"Haukeligrend";;;85,29;1,05;86,34;;201,0126;605,20;363,12;16;;201,0126;
28;"Sandefjord";14;"Åmot";;;75,40;1,05;76,45;;167,5886;515,78;309,47;16;;167,5886;
28;"Sandefjord";15;"Brunkeberg";;;65,35;1,05;66,40;;134,9566;426,78;256,07;16;;134,9566;
28;"Sandefjord";16;"Bø";;;54,56;1,05;55,61;;99,1852;330,00;198,00;16;;99,1852;
28;"Sandefjord";17;"Nordagutu";;;47,57;1,05;48,62;;82,3000;282,11;169,27;24;;82,3000;
28;"Sandefjord";18;"Skien";;;37,00;;37,00;;51,8700;193,30;115,98;48;;51,870;
28;"Sandefjord";19;"Notodden";;;53,88;1,05;54,93;;100,8388;332,80;199,68;16;;100,8388;
28;"Sandefjord";20;"Kongsberg";;;58,95;10,00;68,95;;115,2700;374,54;224,73;48;1,00;115,2700;
28;"Sandefjord";21;"Eiker";;;49,82;10,00;59,82;;93,0520;313,16;187,90;48;1,00;93,0520;
28;"Sandefjord";22;"Drammen";;;44,80;;44,80;;83,1600;284,94;170,97;48;;83,160;
28;"Sandefjord";23;"Nesbru";;;53,44;6,05;59,49;;105,1700;346,76;208,06;48;0,50;105,1700;
28;"Sandefjord";24;"Majorstua";;;59,07;3,32;62,39;;120,4700;388,36;233,02;48;;120,4700;
28;"Sandefjord";25;"Oslo S";;;62,93;3,32;66,24;;123,9900;396,62;237,97;48;;123,9900;
28;"Sandefjord";26;"Holmestrand";;;33,15;;33,15;;51,2600;193,30;115,98;32;;51,260;
28;"Sandefjord";27;"Tønsberg";;;19,00;;19,00;;25,3100;117,32;70,39;48;;25,310;
28;"Sandefjord";29;"Larvik";;;15,00;;15,00;;19,1400;99,60;59,76;48;;19,140;
28;"Sandefjord";30;"Porsgrunn";;;29,50;;29,50;;43,9800;170,06;102,04;48;;43,980;
28;"Sandefjord";31;"Drangedal";;;83,56;16,05;99,61;;140,9458;443,12;265,87;16;1,00;140,9458;
28;"Sandefjord";32;"Gjerstad";;;108,56;16,05;124,61;;173,0358;531,72;319,03;16;1,00;173,0358;
28;"Sandefjord";33;"Arendal";;;188,56;16,05;204,61;;253,6158;737,48;442,49;16;1,00;253,6158;
28;"Sandefjord";34;"Kristiansand";;;203,56;16,05;219,61;;301,2758;854,80;512,88;16;1,00;301,2758;
29;"Larvik";1;"Bergen";;;122,86;11,33;134,19;;361,6266;994,96;596,97;16;0,50;361,6266;
29;"Larvik";2;"Arna";;;116,62;11,33;127,96;;352,2766;974,39;584,63;16;0,50;352,2766;
29;"Larvik";3;"Tysse";;;110,47;11,33;121,81;;334,7006;932,78;559,67;12;0,50;334,7006;
